Epoch,Train Loss,Validation Loss,Train RMSE,Validation RMSE,Validation Pip Difference,Train Sharpe Ratio,Validation Sharpe Ratio,Train Profit Factor,Validation Profit Factor,Train Max Drawdown,Validation Max Drawdown,Train Directional Accuracy (%),Validation Directional Accuracy (%),Train MAPE,Validation MAPE,Train R²,Validation R²,Train MAE,Validation MAE,Train Alpha,Train Beta,Train Omega
1,0.165695500298143,0.4533336945718392,0.00069131993,0.0043933825,43.584682,0.063897595,-7.884695,1.1994153,0.0,2.9511485,-0.0,29.94350282485876,21.88679245283019,0.0460718292742967,0.4112945403903723,0.8668147921562195,-91.34992218017578,0.0004862141,0.004358468,0.3125778143123311,0.6874211446810531,0.5237206249223604
2,0.0870672089668903,0.2993692268890546,0.0007006620871834,0.0037905622739344,37.71420669555664,0.0509487949311733,-9.91281795501709,1.154199481010437,0.0,0.9497429728507996,-0.0,30.602636534839924,21.50943396226415,0.0471926701720804,0.3559021512046456,0.8631908893585205,-67.7457504272461,0.000498061242979,0.0037714208010584,0.2176587122263823,0.7823402696023656,0.2624435768386494
3,0.0491364650771736,0.2633078304448522,0.0006009628414176,0.0037658642977476,37.33540725708008,0.0289280582219362,-7.583127021789551,1.0887548923492432,0.0,1.280060052871704,-0.0,30.32015065913371,22.641509433962263,0.0387462408980354,0.3523213323205709,0.8993548154830933,-66.85281372070312,0.000408959633205,0.0037335408851504,0.1559764819950398,0.8440225083426496,0.1441247633475239
4,0.0306026457860603,0.2483319965072144,0.0005714343278668,0.0038011972792446,37.61273956298828,0.0050802025943994,-6.8452229499816895,1.0147401094436646,0.0,4.087044715881348,-0.0,31.544256120527308,21.50943396226415,0.0375884497771039,0.354936346411705,0.9090023040771484,-68.13204193115234,0.0003967888478655,0.0037612735759466,0.115734410574721,0.8842645754594345,0.0847331701181233
5,0.0211944669224006,0.3381057838748272,0.0006025533657521,0.0045973723754286,45.74041366577149,-0.0035663577727973,-9.88826847076416,0.9894728064537048,0.0,6.384803295135498,-0.0,31.45009416195857,21.13207547169812,0.0384793616831302,0.4316421225667,0.8988213539123535,-100.12483978271484,0.0004061084764543,0.0045740418136119,0.0841400734414385,0.9158589190620358,0.0519544488153755
6,0.0151183689258438,0.3390349321123352,0.0005911997868679,0.0046740234829485,46.52040863037109,-0.0182972569018602,-10.274304389953612,0.945878565311432,0.0,-0.0,-0.0,32.39171374764595,20.0,0.0368406239431351,0.4390036221593618,0.9025983810424804,-103.52503967285156,0.0003888605860993,0.0046520410105586,0.0599227420186671,0.940076268235132,0.0326637802146171
7,0.0114960111958007,0.2719806757076342,0.0005898033850826,0.0042175198905169,41.895877838134766,-0.0077921031042933,-8.645695686340332,0.9760503768920898,0.0,7.678860664367676,-0.0,30.0376647834275,20.75471698113208,0.0359208526788279,0.3953596577048301,0.9030579328536988,-84.10455322265625,0.000379182427423,0.0041895881295204,0.043553258410654,0.9564457267719064,0.0208849075302019
8,0.0089899596242586,0.2801705600511759,0.0005758830811828,0.0043151886202394,42.865989685058594,-0.0043922760523855,-8.64398193359375,0.98676997423172,0.0,9.304102897644045,-0.0,29.94350282485876,20.0,0.0359859026502817,0.4045143257826566,0.9075798988342284,-88.09188079833984,0.0003798453253693,0.0042865988798439,0.0323674692242272,0.9676315084674508,0.0134843396844722
9,0.0090725007169088,0.2692279162487589,0.0006458943244069,0.0042445342987775,42.04749298095703,-0.033813577145338,-7.252196311950684,0.9045306444168092,0.0,-0.0,-0.0,30.69679849340866,20.37735849056604,0.0412423047237098,0.3967867698520422,0.8837425708770752,-85.19829559326172,0.0004354402481112,0.0042047491297125,0.0253312087767632,0.9746677978691468,0.0096338366220511
1,0.0207003545662631,0.0799822499205295,0.0006984177161939,0.0021308660507202,20.199018478393555,-0.0566425547003746,-2.976285934448242,0.8406031131744385,0.0,-0.0,-0.0,28.90772128060264,31.32075471698113,0.0431679072789847,0.1909344922751188,0.9259999394416808,-1.612541913986206,0.0004560818488243,0.0020199019927531,0.0857615062821505,0.9142374657620156,0.0436119072889227
2,0.0133407796174112,0.0635867799751292,0.0006024432368576,0.0019330789800733,17.926530838012695,-0.0349372699856758,-2.478375196456909,0.901905596256256,0.0,-0.0,-0.0,26.64783427495292,34.33962264150943,0.038606219459325,0.1694365055300295,0.9449403285980223,-1.1500577926635742,0.0004078354977536,0.0017926531145349,0.0680418176014021,0.9319571872309256,0.0259124325905503
3,0.0108744075994058,0.0582985216051452,0.0006034391699358,0.0018844782607629,17.307966232299805,-0.054584439843893,-2.3220102787017822,0.8511720299720764,0.0,-0.0,-0.0,27.30696798493409,35.84905660377358,0.0387269334169104,0.1635840977542102,0.944758117198944,-1.0433051586151123,0.0004090897273272,0.0017307965317741,0.0545171890950999,0.9454817838637424,0.0178334249388549
4,0.008828954847165,0.0469453563603845,0.0005777617334388,0.0017054029740393,15.598414421081545,-0.0431781969964504,-2.2625558376312256,0.8803596496582031,0.0,-0.0,-0.0,28.15442561205273,31.69811320754717,0.0370788504369556,0.1474331831559538,0.9493593573570251,-0.6734199523925781,0.0003917166905011,0.0015598414465785,0.0439072243925376,0.956091786709352,0.012713899620417
5,0.0074000725207669,0.0378552820687567,0.0005575690884143,0.0015424507437273,13.863811492919922,-0.0439641177654266,-1.927901029586792,0.882373034954071,0.0062289000488817,-0.0,-0.0,26.55367231638418,32.45283018867924,0.0370947731425985,0.1310506951995194,0.9528372883796692,-0.3689059019088745,0.0003919011505786,0.0013863812200725,0.0354273801043924,0.9645715971544792,0.0091940337898926
6,0.006561209220108,0.0477396083078382,0.0005539071280509,0.0017606692854315,15.849018096923828,-0.0271872971206903,-2.0372142791748047,0.9238134026527404,0.0013835026184096,-0.0,-0.0,28.436911487758948,30.18867924528302,0.0359835539711639,0.1497998717240989,0.9534547328948976,-0.7836370468139648,0.0003801254497375,0.0015849018236622,0.0284243893589708,0.9715745997451324,0.0066888604220265
7,0.0059128722284595,0.0449919797890623,0.0005487162852659,0.0017204515170305,15.254227638244627,-0.0221509560942649,-1.6969324350357056,0.938058376312256,0.014362009242177,-0.0,-0.0,28.15442561205273,32.45283018867924,0.0359987112460657,0.1442109234631061,0.9543230533599854,-0.7030829191207886,0.0003802050778176,0.0015254226746037,0.0227311251620189,0.9772678649548864,0.0048823769507458
8,0.0049959149352701,0.0555281197933193,0.0005163681344129,0.0019256505183875,17.063894271850586,-0.0195189677178859,-1.8114197254180908,0.947160542011261,0.006063194014132,-0.0,-0.0,26.45951035781544,29.81132075471698,0.0351582450093701,0.1613372936844825,0.959549844264984,-1.1335649490356443,0.0003713444457389,0.0017063895938917,0.0181770814917385,0.9818218930196,0.0035702734178077
9,0.0049011962890654,0.0262573287512448,0.0005294099100865,0.0013203119160607,11.378068923950195,-0.0035771739203482,-0.9173830151557922,0.9899197220802308,0.1207972317934036,3.56451153755188,-0.0,26.741996233521657,33.20754716981132,0.03539044118952,0.1075723324902355,0.9574807286262512,-0.003007173538208,0.0003738462692126,0.0011378069175407,0.0143694650357271,0.985629522172438,0.0026187707945136
